ID,Actual,Predicted,Posterior Probability
22396, <=50K, <=50K,0.2
13655, >50K, >50K,0.525
25846, <=50K, <=50K,0.475
26436, <=50K, <=50K,0.125
16569, <=50K, <=50K,0.425
15670, >50K, <=50K,0.45
2487, <=50K, >50K,0.55
30810, <=50K, <=50K,0.4
10924, <=50K, <=50K,0.125
30508, <=50K, <=50K,0.225
23236, <=50K, <=50K,0.125
2461, >50K, <=50K,0.45
22437, <=50K, <=50K,0.45
9501, >50K, <=50K,0.4
30738, <=50K, >50K,0.525
7137, <=50K, <=50K,0.5
31153, <=50K, <=50K,0.4
14035, <=50K, <=50K,0.375
7627, <=50K, <=50K,0.425
15700, <=50K, <=50K,0.4
14006, <=50K, <=50K,0.2
1374, <=50K, <=50K,0.4
18731, <=50K, <=50K,0.05
30002, <=50K, <=50K,0.125
32111, <=50K, <=50K,0.4
15964, <=50K, <=50K,0.425
28687, <=50K, <=50K,0.475
19660, <=50K, <=50K,0.375
30344, >50K, <=50K,0.425
14761, >50K, <=50K,0.45
4172, <=50K, <=50K,0.3
6357, <=50K, <=50K,0.45
31958, <=50K, >50K,0.525
4874, >50K, <=50K,0.4
22390, >50K, >50K,0.55
19054, <=50K, >50K,0.55
18920, <=50K, <=50K,0.2
4533, <=50K, <=50K,0.2
21508, <=50K, <=50K,0.1
10679, <=50K, <=50K,0.5
17552, >50K, <=50K,0.45
32531, >50K, <=50K,0.4
2610, <=50K, <=50K,0.5
17148, <=50K, >50K,0.525
12888, <=50K, <=50K,0.5
24649, <=50K, <=50K,0.425
31810, >50K, <=50K,0.5
25997, <=50K, <=50K,0.425
18396, <=50K, <=50K,0.5
2213, <=50K, <=50K,0.425
6075, <=50K, <=50K,0.05
26606, <=50K, <=50K,0.425
16074, <=50K, >50K,0.525
18109, >50K, <=50K,0.45
23825, <=50K, <=50K,0.425
13171, >50K, <=50K,0.5
30059, >50K, <=50K,0.5
10299, <=50K, <=50K,0.5
27879, >50K, <=50K,0.5
8150, <=50K, >50K,0.625
3303, <=50K, <=50K,0.425
29553, <=50K, <=50K,0.475
25765, >50K, <=50K,0.45
29820, <=50K, <=50K,0.475
21833, <=50K, <=50K,0.4
7503, <=50K, <=50K,0.425
5725, <=50K, <=50K,0.125
15161, >50K, <=50K,0.45
9663, <=50K, <=50K,0.075
25610, <=50K, <=50K,0.15
12985, <=50K, <=50K,0.225
22414, <=50K, <=50K,0.425
1972, <=50K, <=50K,0.5
28141, <=50K, <=50K,0.4
28227, <=50K, <=50K,0.5
13993, <=50K, <=50K,0.425
18401, <=50K, <=50K,0.45
17713, <=50K, <=50K,0.425
22016, <=50K, <=50K,0.375
26146, <=50K, <=50K,0.225
2084, <=50K, <=50K,0.375
15006, <=50K, <=50K,0.175
5813, <=50K, >50K,0.625
17076, <=50K, <=50K,0.1
19430, <=50K, <=50K,0.5
1487, <=50K, <=50K,0.25
8370, <=50K, <=50K,0.375
28080, <=50K, <=50K,0.075
5012, <=50K, <=50K,0.5
2846, >50K, <=50K,0.375
25051, <=50K, <=50K,0.075
9562, >50K, <=50K,0.375
7226, <=50K, <=50K,0.375
11510, <=50K, <=50K,0.225
3316, <=50K, <=50K,0.25
20647, <=50K, <=50K,0.15
1846, <=50K, >50K,0.55
6752, >50K, <=50K,0.375
21200, <=50K, <=50K,0.45
13877, <=50K, <=50K,0.425
10363, >50K, <=50K,0.375
4051, <=50K, <=50K,0.4
5868, >50K, <=50K,0.425
17419, <=50K, <=50K,0.4
3773, <=50K, >50K,0.575
25622, <=50K, <=50K,0.45
8317, <=50K, <=50K,0.5
27070, <=50K, <=50K,0.475
6038, <=50K, >50K,0.525
25949, >50K, >50K,0.525
31961, <=50K, <=50K,0.475
28650, <=50K, <=50K,0.45
29643, >50K, <=50K,0.175
2442, <=50K, <=50K,0.425
27725, >50K, >50K,0.525
4368, <=50K, <=50K,0.475
16366, <=50K, >50K,0.525
12641, <=50K, <=50K,0.425
11212, >50K, <=50K,0.5
8422, <=50K, >50K,0.525
20606, <=50K, >50K,0.6
25994, <=50K, <=50K,0.1
31907, >50K, >50K,0.525
20144, <=50K, <=50K,0.15
26840, <=50K, <=50K,0.425
28729, >50K, <=50K,0.375
10813, <=50K, <=50K,0.4
4192, <=50K, <=50K,0.325
12611, <=50K, <=50K,0.4
19177, <=50K, <=50K,0.35
19630, <=50K, <=50K,0.375
3274, >50K, <=50K,0.425
12430, >50K, <=50K,0.45
20159, <=50K, <=50K,0.425
1114, <=50K, <=50K,0.5
20641, <=50K, >50K,0.525
7685, <=50K, <=50K,0.45
16217, <=50K, <=50K,0.225
21286, <=50K, <=50K,0.425
28251, <=50K, <=50K,0.425
132, <=50K, <=50K,0.35
10004, >50K, <=50K,0.5
27817, >50K, >50K,0.525
7347, <=50K, <=50K,0.425
31216, <=50K, <=50K,0.15
3213, >50K, <=50K,0.4
158, <=50K, <=50K,0.125
4872, <=50K, <=50K,0.15
19983, <=50K, <=50K,0.5
615, <=50K, <=50K,0.15
258, <=50K, <=50K,0.425
10819, <=50K, <=50K,0.425
4022, <=50K, <=50K,0.2
7051, <=50K, <=50K,0.125
8436, <=50K, <=50K,0.125
13826, <=50K, >50K,0.525
22277, >50K, <=50K,0.4
6267, <=50K, <=50K,0.425
18419, >50K, <=50K,0.5
13815, <=50K, <=50K,0.5
17358, <=50K, <=50K,0.425
29523, >50K, <=50K,0.425
9145, <=50K, <=50K,0.45
29378, <=50K, <=50K,0.425
6941, <=50K, <=50K,0.4
